method,instance_idx,validity,proximity,plausibility,causal_validity_residual,immutability_violation
DiCE (genetic),0,0,0.0,0.12072821706533432,0.23287986355838344,0
DiCE (genetic),1,0,0.0,0.10555429756641388,0.5873427302275511,0
DiCE (genetic),2,0,0.0,0.28272518515586853,1.3581383934087607,0
DiCE (genetic),3,0,0.0,0.6201266646385193,0.3741192837444346,0
DiCE (genetic),4,0,0.0,0.3331834673881531,0.28351741721692136,0
DiCE (genetic),5,0,0.0,0.4810272753238678,1.0832038703755713,0
DiCE (genetic),6,1,0.0,0.7583909034729004,0.7371183228139273,0
DiCE (genetic),7,0,0.0,0.10967222601175308,1.1310505102436283,0
DiCE (genetic),8,0,0.0,0.4022514522075653,0.6878018684314924,0
DiCE (genetic),9,0,0.0,0.21181966364383698,0.23287986355838344,0
DiCE (genetic),10,0,0.0,0.4448942542076111,1.0232808543650798,0
DiCE (genetic),11,0,0.0,0.09461664408445358,0.39313744160536707,0
DiCE (genetic),12,0,0.0,0.15012110769748688,0.4273472821879061,0
DiCE (genetic),13,0,0.0,0.1784566193819046,0.5039358069024662,0
DiCE (genetic),14,0,0.0,0.4962683618068695,0.540486677573782,0
DiCE (genetic),15,1,0.0,0.19910775125026703,0.516763505254021,0
DiCE (genetic),16,0,0.0,0.2068995237350464,0.6170009724407074,0
DiCE (genetic),17,0,0.0,0.28540998697280884,0.5520097464821736,0
DiCE (genetic),18,0,0.0,0.18524174392223358,0.975002065044713,0
DiCE (genetic),19,0,0.0,0.4611007273197174,1.2064653357545587,0
Gradient (NN),0,0,0.746705174446106,0.07219396531581879,0.2786553148362863,0
Gradient (NN),1,0,1.4051874876022339,0.32499808073043823,0.5038450213816603,0
Gradient (NN),2,0,2.2232978343963623,0.6101749539375305,1.0405473820536764,0
Gradient (NN),3,0,1.714320182800293,0.3248405158519745,0.39531231916230314,0
Gradient (NN),4,0,1.961854100227356,0.7344747185707092,0.27366276924027844,0
Gradient (NN),5,0,1.4035961627960205,0.33638137578964233,0.8248514008121571,0
Gradient (NN),6,1,0.15996584296226501,0.680951714515686,0.7580738459305051,0
Gradient (NN),7,1,1.6421082019805908,0.2766941487789154,1.076386555835684,0
Gradient (NN),8,0,1.8790137767791748,0.8016467690467834,0.4319210062857337,0
Gradient (NN),9,0,0.7833162546157837,0.19554375112056732,0.28188209581278506,0
Gradient (NN),10,0,0.674368143081665,0.6421357989311218,1.0232808543650798,0
Gradient (NN),11,0,1.6370837688446045,0.25910577178001404,0.35340459556829684,0
Gradient (NN),12,0,0.5057512521743774,0.19421657919883728,0.4487262782123344,0
Gradient (NN),13,0,1.8314521312713623,0.7420701384544373,0.4262275509102566,0
Gradient (NN),14,0,1.0862983465194702,0.6987065076828003,0.3226075599141663,0
Gradient (NN),15,1,1.338325023651123,0.5039064884185791,0.7757655807769189,0
Gradient (NN),16,0,0.6876999735832214,0.19361639022827148,0.6541715438158782,0
Gradient (NN),17,0,0.30964168906211853,0.28405848145484924,0.4901667370084139,0
Gradient (NN),18,0,1.3460378646850586,0.0833880752325058,0.8579706605933992,0
Gradient (NN),19,0,2.09604811668396,0.3278561234474182,0.8726117345117483,0
